ID DEPARTAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
91,AMAZONAS,91001,LETICIA,91001000,LETICIA (LETICIA - AMAZONAS),2024,6,,,,Jueves,2024 Jun 20 03:30:00 PM,24.0
91,AMAZONAS,91540,PUERTO NARIÑO,91540000,PUERTO NARIÑO (PUERTO NARIÑO - AMAZONAS),2024,6,127.838,40.378,256.0,Miércoles,2024 Jun 05 06:15:00 PM,24.0
91,AMAZONAS,91798,TARAPACA (ANM),91798000,TARAPACA (TARAPACA (ANM) - AMAZONAS),2024,6,26.578,11.917,101.43,Jueves,2024 Jun 20 06:30:00 PM,10.18
88,ARCHIPIÉLAGO DE SAN ANDRÉS y PROVIDENCIA,88564,PROVIDENCIA,88564000,PROVIDENCIA (PROVIDENCIA - ARCHIPIÉLAGO DE SAN ANDRÉS y PROVIDENCIA ),2024,6,,274.864,,Miércoles,2024 Jun 12 02:15:00 PM,24.0
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001007,ISLA FUERTE (CARTAGENA DE INDIAS - BOLÍVAR),2024,6,60.724,28.336,265.63,Domingo,2024 Jun 30 08:00:00 PM,9.4
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001017,SANTA CRUZ DEL ISLOTE (CARTAGENA DE INDIAS - BOLÍVAR),2024,6,12.04,3.944,53.41,Viernes,2024 Jun 21 10:30:00 PM,9.24
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,18150001,REMOLINO DEL CAGUAN (CARTAGENA DEL CHAIRA - CAQUETÁ),2024,6,18.647,8.183,104.26,Sábado,2024 Jun 22 06:45:00 PM,7.43
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,18150002,SANTA FE DEL CAGUAN (CARTAGENA DEL CHAIRA - CAQUETÁ),2024,6,4.127,1.932,39.4,Sábado,2024 Jun 15 06:00:00 PM,4.27
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753002,GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2024,6,8.77,3.282,32.35,Sábado,2024 Jun 29 07:45:00 PM,14.56
19,CAUCA,19318,GUAPI,19318008,LIMONES (GUAPI - CAUCA),2024,6,9.158,4.037,43.34,Jueves,2024 Jun 27 07:30:00 PM,9.22
